iter	Passed	Remaining
0	96	28789
1	98	14648
2	99	9883
3	101	7503
4	102	6068
5	104	5109
6	105	4420
7	107	3910
8	108	3509
9	110	3194
10	111	2933
11	113	2733
12	115	2556
13	117	2400
14	118	2258
15	120	2136
16	121	2027
17	123	1933
18	124	1848
19	126	1769
20	127	1697
21	129	1631
22	130	1572
23	131	1516
24	133	1465
25	134	1418
26	135	1374
27	137	1333
28	138	1297
29	140	1261
30	141	1228
31	142	1196
32	144	1167
33	145	1140
34	147	1113
35	148	1088
36	149	1064
37	151	1041
38	152	1020
39	153	1000
40	155	981
41	156	962
42	158	944
43	159	928
44	161	913
45	162	897
46	163	882
47	165	867
48	166	853
49	167	839
50	169	826
51	170	815
52	172	804
53	174	794
54	176	784
55	177	774
56	180	770
57	182	760
58	183	750
59	185	741
60	187	733
61	188	723
62	189	714
63	191	705
64	192	696
65	194	688
66	195	679
67	196	671
68	198	663
69	199	655
70	200	647
71	202	640
72	203	633
73	205	627
74	206	619
75	207	612
76	209	605
77	210	599
78	211	592
79	213	586
80	214	580
81	215	574
82	217	568
83	218	562
84	220	557
85	221	551
86	222	545
87	224	540
88	225	534
89	226	529
90	228	524
91	229	519
92	231	514
93	232	509
94	234	505
95	235	500
96	236	495
97	238	491
98	239	486
99	241	482
100	242	477
101	244	473
102	245	469
103	247	465
104	248	462
105	250	458
106	251	454
107	253	450
108	255	447
109	257	444
110	258	440
111	260	436
112	261	432
113	262	428
114	263	423
115	265	420
116	267	417
117	268	413
118	269	410
119	271	407
120	272	403
121	274	399
122	275	396
123	276	392
124	278	389
125	279	386
126	281	382
127	282	379
128	284	376
129	285	373
130	286	370
131	288	366
132	289	363
133	290	360
134	292	357
135	293	354
136	295	351
137	297	348
138	298	345
139	299	342
140	301	339
141	302	336
142	304	334
143	305	331
144	306	328
145	308	325
146	309	322
147	312	320
148	313	317
149	315	315
150	316	312
151	318	310
152	320	307
153	322	305
154	323	302
155	325	300
156	326	297
157	328	294
158	329	292
159	331	289
160	334	288
161	336	286
162	337	283
163	338	281
164	340	278
165	341	275
166	343	273
167	344	270
168	346	268
169	347	265
170	349	263
171	350	261
172	352	258
173	353	256
174	355	253
175	356	251
176	358	249
177	360	246
178	361	244
179	363	242
180	364	239
181	365	237
182	367	234
183	368	232
184	370	230
185	371	227
186	372	225
187	374	223
188	376	220
189	377	218
190	379	216
191	380	214
192	382	211
193	383	209
194	384	207
195	386	204
196	387	202
197	389	200
198	390	198
199	392	196
200	393	194
201	395	191
202	397	189
203	400	188
204	401	186
205	403	183
206	404	181
207	406	179
208	408	177
209	410	176
210	412	173
211	413	171
212	415	169
213	416	167
214	418	165
215	419	163
216	421	161
217	422	158
218	423	156
219	425	154
220	426	152
221	428	150
222	429	148
223	430	146
224	432	144
225	433	141
226	434	139
227	436	137
228	438	135
229	439	133
230	440	131
231	442	129
232	443	127
233	444	125
234	446	123
235	447	121
236	449	119
237	450	117
238	452	115
239	453	113
240	455	111
241	456	109
242	457	107
243	459	105
244	460	103
245	461	101
246	463	99
247	464	97
248	465	95
249	467	93
250	468	91
251	469	89
252	471	87
253	472	85
254	474	83
255	476	81
256	477	79
257	480	78
258	482	76
259	484	74
260	485	72
261	487	70
262	488	68
263	489	66
264	491	64
265	492	62
266	493	61
267	495	59
268	496	57
269	497	55
270	499	53
271	500	51
272	502	49
273	503	47
274	504	45
275	506	44
276	507	42
277	508	40
278	510	38
279	511	36
280	512	34
281	514	32
282	515	30
283	516	29
284	518	27
285	519	25
286	520	23
287	522	21
288	523	19
289	524	18
290	526	16
291	527	14
292	529	12
293	530	10
294	532	9
295	533	7
296	534	5
297	536	3
298	537	1
299	539	0
