An,Luna,Tara,Scop,Numar,Data,Luna_Sin,Luna_Cos,Trimestru,Sezon,Este_Sarbatoare
2018,1,AFRICA DE SUD,Investitii straine,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,ALBANIA,Reintregirea familiei,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,ARMENIA,Reintregirea familiei,2,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,AZERBAIDJAN,Alte cazuri,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,AZERBAIDJAN,Imigrare la munca,2,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,AZERBAIDJAN,La studii,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,AZERBAIDJAN,Reintregirea familiei,6,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,BELARUS,Reintregirea familiei,4,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,CHINA,La studii,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,CIPRU,Imigrare la munca,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,ESTONIA,Reintregirea familiei,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,FEDERATIA RUSA,"Activitati religioase, umanitare si de voluntariat",1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,FEDERATIA RUSA,Alte cazuri,17,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,FEDERATIA RUSA,La studii,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,FEDERATIA RUSA,Reintregirea familiei,43,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,FILIPINE,Reintregirea familiei,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,FRANTA,Reintregirea familiei,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,GEORGIA,Imigrare la munca,2,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,GEORGIA,Reintregirea familiei,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,GRECIA,Imigrare la munca,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,GRECIA,Reintregirea familiei,2,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,INDIA,La studii,8,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,INDIA,Reintregirea familiei,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,IRAK,Imigrare la munca,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,IRAK,La studii,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,ISRAEL,Imigrare la munca,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,ISRAEL,Investitii straine,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,ISRAEL,La studii,19,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,ITALIA,"Activitati religioase, umanitare si de voluntariat",2,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,ITALIA,Imigrare la munca,3,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,ITALIA,Reintregirea familiei,3,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,KIRGHIZSTAN,Reintregirea familiei,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,LETONIA,Proiecte,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,LIBAN,La studii,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,LITUANIA,Imigrare la munca,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,LITUANIA,Reintregirea familiei,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,MALTA,Imigrare la munca,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,NIGERIA,Reintregirea familiei,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,POLONIA,"Activitati religioase, umanitare si de voluntariat",3,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,POLONIA,Imigrare la munca,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,PORTUGALIA,Alte cazuri,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,PORTUGALIA,Reintregirea familiei,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,REPUBLICA ARABA SIRIANA,Imigrare la munca,2,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,REPUBLICA ARABA SIRIANA,La studii,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,REPUBLICA ARABA SIRIANA,Reintregirea familiei,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
2018,1,ROMANIA,Alte cazuri,1,2018-01-01,0.49999999999999994,0.8660254037844387,1,1,1
